S.No,Tweet,Points,Sentiment
123,no  I didn t kill him    I just checked on him one day and he was just floating at the top of the bowl dead    lol Everyone s home        butme  ,2,Positive
124,i feel like im the only one who thinks girls with no makeup is so fucking cute and more attractive            same ,2,Positive
125,   Kolamm renangg dongg      RT ,0,Neutral
126,Pst renang d kubangan got dehh RT ,0,Neutral
127,Gagal renang   ” ,0,Neutral
128,wah   wish I was there Quiero su user     I miss AMD    but I know now ,0,Neutral
129,I know  I m sad  I have to be in htown tho    ,-1,Negative
130,makan atiiii       Udh sakit duluan   RT ,0,Neutral
131,DhiaanNovietha kok tadi ngetweet ronsen2 gtu sih  Jan skit kak      Depressed   I want snacks Home  hmmm   No more twinkies    Also my kitty Gus Gus still hasn t come home       My gut feeling is that he isn t  It makes me pretty sad  And my kids are going to ask ð why does everything bad happen to me at once     ,-4,Negative
132,kok nggak suka      ,0,Neutral
133,stress sbb x dpt jawab paper final td dngan baik        that s me  Officially hate thanksgiving     ,-1,Negative
134,Thursday morning I got work        Wbu   Im boring    ,0,Neutral
135,Jeezus I guess she really has been around    the more the Mary er lol Wiah he was still coming for ICONiacz    ICONic Boyz In Hotel http   www youtube com watch v 6Jde2mF3MkM sns tw via ,0,Neutral
136,Hey ,0,Neutral
137,   will you take ,0,Neutral
138,  I hunting  ,0,Neutral
139,won t         pleaseee  Kawawa naman si ,0,Neutral
140,   hindi pa siya makakapag test sa PLM  Bawi tayo te ah  ,0,Neutral
141,hahajaja lo siento    échale la culpa a mi celular y a mi aburrición chupirul ,0,Neutral
142,I used to have a blade liger from Japan but my brothers wrecked it  Made me a sad chad    ,-1,Negative
143,yo    ,0,Neutral
144,not lying either   Who s down to ding song ditch pretty bored    lapor nya ke piom bkn sama gue          Morning guys  Sakit ulo    hardly had a good sleep  ,0,Neutral
145,I messed up tho I didn t realize I could order all 3 exotics in a package   I only ordered one    ,1,Positive
146,Lol wish I could hang with y all though    I can t sleep     but I really wana go to sleep   ,2,Positive
147,I ve been thinking that too   Have work 1o hrs tomorrow   I just wanna crawl in a hole and die   ,1,Positive
148,salah lagiii    ,0,Neutral
149,you will  Your too good for me    ,1,Positive
150, necesito otro puentesito para ver la serie que me dijiste y esa peli     que ni tiempooo      ,0,Neutral
151,   I d love to see your face after work tomarrow tho   ,0,Neutral
152,10 rb   90 000 000 akeh tenan beta mana punya uang segitu    why do we have school tomorrow      notfair I miss  TheSecretCircle     ,0,Neutral
153,oh yea    im mad at you     Bye bye murdle     saddaytoseeyouleave Cian deh lo haha  ,1,Positive
154,Iya nih atu atit anas ingin    RT,0,Neutral
155,Kamu sakit cintaaah   ,0,Neutral
156,Semoga tar kuat dan gak Im missing my love    http   p twimg com A8MmiVQCYAEM6bj jpg Noone okay guys ill do it alone    ,-1,Negative
157,i miss you y all     my phone is done   it got ran over by a car Rindu nak makan sup bini    ,0,Neutral
158,ouch     hopefully they do something for you after baby girl is born   you ve had it rough lately Kind of feel like you don t want to talk at all   Perfect   imissyouthough      jadikan hamba yg lbh sabar ya allaah    Quería McDonalds hoy    Maafkan ak Tuhan    selama ini ak menyembah berhala  disesatkan iblis menyembah Tuhan Palsu       ,3,Positive
159,no me venistes a ver    ,0,Neutral
160,is my new favourite bar it s just a shame is a 7000 mile round trip to get here and back home    worth it though     “,1,Positive
161,I want to be a Zoe     ” they in the illuminati ,0,Neutral
162,I miss yoooou    ,0,Neutral
163,Mine broke   I threw it out   haven t replaced it    ,-1,Negative
164,hahahah ah poxa queria que os jb tivessem la    ,0,Neutral
165,no te preocupes seguro adquirí en el virus en otro lado  Ahorita ya me voy a dormir a ver si amanesco mejor mañana    ,1,Positive
166,sem o calmante fica dificil nanar ne     kkkk mas como eu te disse o sono vem sempre 1h antes da gnt acordar sduhsdfudshdsfuh Fucked my knee up so bad at work today     owwie I hate when I send the picture before I add a caption    ,-2,Negative
167,u better  no takes back   If not no more best friend            Cough cough cough     nosleep ð Kangen akan kampung halaman harus pulang dulu    mom jus called to tell me my cousin has cancer     Prayers ,0,Neutral
168,Jaja noooD  tengo demasiados aquí en mi casa pero ya no quiero comer pero es imposible    jaja ,0,Neutral
169,heyyy polwan cantiq pa kbr   Kngeeeen        ,0,Neutral
170,yelaa        “,0,Neutral
171,I really need to know    http   p twimg com A8MkdmmCEAEsjvt jpg”  Now I m curious  I want turkey and mashed potatoes right now    ,1,Positive
172,estoy en D      Omg so bored roommate is gone    ,-1,Negative
173,wtf foreal   You called me  That s lamee I didn t even get a missed call from you    come see us soon we miss yaa ,-1,Negative
174,oh    ill DM it too you ,-1,Negative
175,D  pero I want hawt guys    poutttty  Sir Ron wala teaser for tomorrow s episode    ,0,Neutral
176,Going to Macdonalds     I don t want to  I hate that baes in pain        Надо было книгу взять  Хотя     Опасно ее сюда носить а то вдруг снова отнимут    All you had to do was tell me    ,-1,Negative
177,Poxa    Professor chato é a pior coisa que tem maaaaas é professor né Spending Thanksgiving With My Second Family    Well Not All Of Em    I Wish He Could Make It Here     ,1,Positive
178,girl I need one  That depresses me lol  But right I m dehydrated  So I ll have to wait a while     ,1,Positive
179,Miss you too hun     call me tomorrow  “,0,Neutral
180,Its 21 degrees Celsius and people in doha are  freezing  hahahhahahaha okay then ” It s so cold    ,0,Neutral
181,le boo that has rejected me    I wish some one would snap chat meh      3 ,-1,Negative
182,prolly just need sum alone time or sumthing but it should  Shouldn t it     Kiiii kita sering ktmu ya  ¬ ¬   ,1,Positive
183,Ak jg jarang ktmu kalian    RT ,0,Neutral
184,Maunya sch lin   tp blm jm istirahat  jd mesti nunggu dch   huffftttt    Tumben   RT ,0,Neutral
185,galauuu moo hahahaa RT ,0,Neutral
186,Kunaon brayy   RT RaaboRra  mpe kpn yaaaaaa ky gni terusss       Watch 24 7 ,0,Neutral
187,  Or booze     Hate Hate Hate sleeping on my own    ,-3,Negative
188,I m gonna actually be in san Bernardino    When can I have my breakfast     I just wanna go to sleep but Bandit wont let me       ,1,Positive
189,awww I m so sorry Jaylynn how can I make it up to you     My girlfriend forgot about me     ,-1,Negative
190,No kidding    kenapa arus ada yang namanya  mood  yah   mau ngomong harus liat org nya itu mood apa nggak    ,0,Neutral
191,   Jangan pukpuk dong    pekluk kek RT ,0,Neutral
192, pukpuk sabar ya bang   ⌣́ ⌣̀    ́⌣ ̀    RT ,1,Positive
193,salah lagiii     Good Afternoon jwu    Played  wag ka nang umiyak   but i still kept on crying     ,-2,Negative
194,I really thought I was going to Burnham today     didn t get to see you donkey         lagi banyak yg dipikirkan    ,1,Positive
195,iiih kenapa si orng2 blng gw galau gw ga galai tauuu      Hehhehehe iyahh dong    i troll to much  i need to chill out   twitterrehab  missmyfriends    If you tried to snap chat me I didn t get to see them   ,2,Positive
196,sedih la sheyshey makan bende sama je     ,0,Neutral
197,   Tai sao dang vui ve thi ko tiep tuc de cho no vui ve  De roi bay gio giong nhu ko the nhin mat nhau nua     bun lam lun  Aku pileeeeek    RT,0,Neutral
198,Berisikk apa sii  ,0,Neutral
199,Kalian berisik ,0,Neutral
200,Hari ni bangun lambat    nasib baik smpat utk g blajar keta    Kelam kabut di buatnyaa    Now Im home    ,0,Neutral
201,Na no lloro  P Pero porqué está tan bonitaaaa      ,0,Neutral
202,Watch 24 7 ,0,Neutral
203,  Or booze       both  ☺ I hate sleeping without you ,-1,Negative
204,   sampek sekarang masih belom    RT ,0,Neutral
205,Hahaha  p uda mkn blum  ≤  ˘͡  ˘͡ ≥ » ,0,Neutral
206,  Haha   pikun    RT ,0,Neutral
207,Eh    ,0,Neutral
208,Wait    I Understand SL But IIWAB  Why     I wish all the ghetto people would die    Quisiera ser tan inteligente como mi papá    ,1,Positive
209,ya quisiera yo tener un trabajo en el que me exploten    Então vou passar fome    ,0,Neutral
210,awww booo    but maybe it was karma bc I got my start date and they realized I wasn t a felon    இது நாடா  அல்லது கசாப்பு கடையா       ,0,Neutral
211,that is depressing    ,-1,Negative
212,ill try  ill miss you home slice I wish u could ve came over here for thanksgiving    I got attacked by a staple    http   p twimg com A8MncVoCIAEl8iq jpg  ,-3,Negative
213,my phone died and i dont have a charger so I can t          sorrrry  illbuyyouacookie  bet on for the next quiz   i miss SD    ,0,Neutral
214,aduh nak tegur kau la  Sekarang tak boleh tegur dah ada bestie baru kannn    Cuando el trabajo absorbe tu vida y así    y en el trabajo tampoco tienes vidacontinuara    Sini ki dipeyuuuk  з ⌣ ε  ,0,Neutral
215,Iya kangen tmen2    RT ,0,Neutral
216,Kangen ya  Hahahah RT ,0,Neutral
217,Ak jg jarang ktmu kalian    RT  ,0,Neutral
218,my poor dad    Wala talagang Temple Run for Android     Up          Compass course again   shag The beginning of Up always makes me so sad    “,-2,Negative
219,No nuts in the cookies unless you re trying to break my spirit     oh ,-2,Negative
220,this is you as a toddler  Arg    ,0,Neutral
221,do it     but if you stop responding    I ll be sad    ,-1,Negative
222,It was 11 11 when i was writing it      ,0,Neutral
223,ala    yo pense que vendrias con ellos I wanna play halo 4   Should I regret what happened between us    ,-1,Negative
224,sorrrrry   http   p twimg com A8Mnn7YCAAAZdGw png  TELEPORTING NAKED GUYS          lmao Still sleeepy    I should just become a fucking monk because finding ONE girl these days is impossible     I want a relationship       ,2,Positive
225,awwww    I hate being scared    “,-1,Negative
226,Church tomorrow   ,0,Neutral
227,NO they canceled it cause of thanksgiving    Feeling sick    All this moving is getting 2 me Someone keep me awake   please  I just need my conclusion And a pack of red bull    These http   Match com commercials makes me wanna join    ,2,Positive
228,Aw poor you    ,-1,Negative
229,I don t know I don t go    But if there is tomorrow I would be able to go  D I just hate this feeling    Wasting time againnnn zzZzZz  ,0,Neutral
230,Miriam College Library Media Center  http   4sq com SQlGZf ,0,Neutral
231,Como le haces pa tener fotos con checo    hahah  mematalaenvidia hahaa ,-1,Negative
232,I miss you too     Visit meeee      ,0,Neutral
233,   I love ,0,Neutral
234,  wedonttalkanymore    ,0,Neutral
235,i misss youuu     ,0,Neutral
236,hace mucho no subo caminando y menos de dia    he subido a puras ceremonias de noche últimamente ,0,Neutral
237,me too     ,0,Neutral
238, Im goin to bed so maybe i can sleep    love you RT ,0,Neutral
239,I can t wait to party    Party for mi n yu    Wish somebody would snort cocaine off my dick    ,0,Neutral
240,klcc  wangsa maju  shah alam  times square n abes laa masa keje arini  bes nye dak2 MKT ni  sume x berani nk bwk sy  so saddd     Can t tweet sappy tweets because Kyle follows me now    Wide awake in pain   poorly boy     ,-3,Negative
241,I m fineeeee bro   I m Thinking about shai too    have yu seen the news   Gaza is crazy Listening to sad songs     thinkingofyou  iwishyouknew  heartbroken  depressed Ngapain ya enakanya lagi skit gini  gaada tmn lagi   I miss you boo lol     ,-2,Negative
242,למה לא הייתי שםםםםםםםם         Bryon hit me    Ngga gie    galau duit ilang  RT ,0,Neutral
243,Lagi galau ku si tresna      ,0,Neutral
244,Abcdefghiskipklmnopqrstuvwxyz http   myloc me qYCwO I m always soooo cold    Damn    ,-1,Negative
245,BTW NJCU lost to Ramapo      NJCU Men s Basketball  ,0,Neutral
246,I didn t want to win        iloverabbits صباح آخر يوم عمل تطوعي في زنجبار     تكاتف زنجبار starvinggggg  daddy can we have dim sum for lunch     ,-1,Negative
247,   sad day I wish I was at TBS    I m tipsy   wanna work out but no one wants to join me    Why is my foot hurting     Njirrr    Masuk angin     pukpuk  D RT ,-3,Negative
248,Aih cucun   pitalokadian  ocow ocow tertidas wkwk  piiiisss RT ,0,Neutral
249,RT ,0,Neutral
250,Merasa gak di hargai  I missed  SOA     guess i ll just have to watch it Tomorrow    ðððð ,0,Neutral
251,no I m sorry    ,-1,Negative
252,saudade de ti        Kepunan Kk dr kmrn  hhe  p RT ,0,Neutral
253,Bsk   Sabar 1 hari lagi egaaa RT ,0,Neutral
254,Gagal renang   ” oigan  hace mucho friooo    ,0,Neutral
255,DM   gak ada DM nya sayang    It s like I have no friends right now  I m real bored     ,2,Positive
256,   I think ,0,Neutral
257,forgot about me she never texts me anymore      Me di la perdida de la vida hoy jaja casi muero    Stop scoring so many points lakers and nets    Really wishing I was off at 11 30 tonight     ,1,Positive
258,I don t want to    Hope I can tolerate work    I think you know my 11 11 wish     PepsiGo1DenPass  mycontestentry ,-1,Negative
259,I SO miss her voice    GOT PROBLEMS   COULDN T THINK OF ANY EXPLANATION  WAAAA  OTOKE     ,0,Neutral
260,wah       To stay home and rest or go party  I mean you only live once but I m tired and sick    ,-3,Negative
261,bagong gising ako Naks eh      I have Viber  Save my mobile number  09054622214     Cold part of the pillow where are you       HumanRadiator ,-1,Negative
262,i hate when they do that     Have to wake up sooo early tomorrow     notexcited ,-1,Negative
263,your crazy don t get stepped on   today is not like any other day  no texts from you    3 day week   2 days over   then THANKSGIVING  A K A TURKEY DAY Buti pa si Mama ngttour    hirap ng wala pera haha I need to work na talaga  ,1,Positive
264,kesel da beyyy    pngen nangis    bener  Sini main kgundar cakung jod  Wkwkw RT ,1,Positive
265,ayo kita maiin               main di rumah    ,1,Positive
266,sasa umeenda huko kufanya   utapigwa na mrc    Casey doesn t like my work schedule     Wtf I m literary in tears imma fukin  die without my iPod    I m so heartbroken   3 ,0,Neutral
267,   badan panas bgt kaya kebakar   ,0,Neutral
268,such a good one  I watched the one where he purposes in LA     wishshesaidyes  The guy behind me on the bus stinks of alcohol    I wish I was fucking drunk  Wtf  FUCK THIS Someone text me I m soo bored     ,1,Positive
269,remember to check out my tweet         if not i ll fall down to my apartment ,-1,Negative
270,i ve been weird for the passed 2 hours dude  I miss you  Why don t I have your number  I need to text you right now   I wish there were more things in my house to bake     mydrunkkitchen  poorpeopleprobz ,0,Neutral
271,Ashley you are disgusting come la  Didn t say you can t also      RT  “,-1,Negative
272,I wish I had someone to talk to ” i like texted chu     no respond    In so much pain      зачет блджад     ,1,Positive
273,УрГПУ  http   4sq com Q9qbBI ,0,Neutral
274,fanatismo extremo así como yo      SpiceGiiiiiiiiiirlsYoTeQuieroooooo Lets take a drive to sultans anyone  No  Fine     ,1,Positive
275,I sent you one     ,0,Neutral
276,oooooo my goodness I hate that    ,0,Neutral
277,gerit   gerit   tak habis habis   Jerit lah   eja pun salah  Lol takpayah nak bagi  CLUE  sangat lah sayang    ,0,Neutral
278,LOL I don t know I keep waking up at 4am on the dot for the last 6 days              at least I am not the only one      ,-2,Negative
279,nothing moti       ,0,Neutral
280,saudades       ,0,Neutral
281,ah yea i think u know my bf Foxy dta  weird because he is connecting fine but I can t connect at all    ,2,Positive
282,dime hola    people who use the phrase  they get it  usually don t get it    ,0,Neutral
283,please dont be mad    i definitely would of if i could  ,2,Positive
284,kawan awk kate kan takpayah bawak sy      ,0,Neutral
285,aww   Tv  Put Spanish all the time    thanks I got it  hey is ythst batlle over yet  ,1,Positive
286,hahaa I thought we were on the same channel    I m heart broken  I want Taco Bell    sooooo bad   FattyTweet Down in Florida without my baby   I miss her ,-1,Negative
287,I miss you too      I Hope they don t have to take my appendix outt    My boo boo no feel good          Haven t talked to my best friend since band class today    TEXT ME ,1,Positive
288,LET ME LOVE YOU    kidding  I don t want to love you   P Imma need ppl to stop talkin bout Elmo   Elmo didn t do anything    ,0,Neutral
289,he will probs throw them away      but idkkk ,0,Neutral
290,why u no call me     ,0,Neutral
291,estoy tapadaaaa     jajaja    como sigue dedoo rebanado I m so sad  I know I failed my math midterm      ,-1,Negative
292,same here    why you not been sleeping     x Ik     ,-1,Negative
293,you need to    ,0,Neutral
294,but u had promise me last time     ,-1,Negative
295,I fell asleep    Semangaaaattt Tarsiiii      RT ,-2,Negative
296,Skripsi ohhh Skripsi       My leg and back hurts soo bad   who wants to give this girl a massage  ,-1,Negative
297,your welcome  I wish my hair was as long as yours too    so pretty  And thank you    I m gonna use it tomorrow before work  ,1,Positive
298,ouch    http   www youtube com watch v 4NCERdh  j4 feature share this is just the absolute saddest thing    Sam told me that he is coming over tonight but he s getting home to late  heartbroken        ,1,Positive
299,dia ada event    Please  Hujan turun donk    http   myloc me qYCEm Brody s sick    http   p twimg com A8Mo931CQAEI6 0 jpg ,-1,Negative
300,   i m so sad     Because I wanna be with you still   ,-2,Negative
301,cause you no give it to me    My Typos      The Internet at home sucks     I fucked up     I want pet a baby elephant sooo bad    blllaaaahhhhhh   iwantababyelephant    please 2 dias    ,1,Positive
302,I don t like you      P I was twatching and I realized I wasn t following my lil chocolate drop baby ,1,Positive
303,        But now I am       too cute  D ,1,Positive
304,very        Infact        Fawk   I m sad now    ,0,Neutral
305,I need to spend the rest of the semester in the CMA       ,0,Neutral
